Names,Niche Link,Atheletic Division,Acceptance Rate,Undergrad #,Graduation Rate,School Website
Princeton University,https://www.niche.com/colleges/princeton-university/,NCAA Division I-FCS,7%,"5,251",97%,http://www.princeton.edu
Harvard University,https://www.niche.com/colleges/harvard-university/,NCAA Division I-FCS,5%,"7,151",97%,http://www.harvard.edu
Columbia University,https://www.niche.com/colleges/columbia-university/,NCAA Division I-FCS,7%,"7,552",94%,http://www.columbia.edu
Massachusetts Institute of Technology,https://www.niche.com/colleges/massachusetts-institute-of-technology/,NCAA Division III (with football),8%,"4,476",93%,http://web.mit.edu/
University of Chicago,https://www.niche.com/colleges/university-of-chicago/,NCAA Division III (with football),8%,"5,978",94%,http://www.uchicago.edu
Yale University,https://www.niche.com/colleges/yale-university/,NCAA Division I-FCS,6%,"5,469",98%,https://www.yale.edu/
Stanford University,https://www.niche.com/colleges/stanford-university/,NCAA Division I-FBS,5%,"7,034",94%,http://www.stanford.edu/
Duke University,https://www.niche.com/colleges/duke-university/,NCAA Division I-FBS,11%,"6,577",95%,https://duke.edu/
University of Pennsylvania,https://www.niche.com/colleges/university-of-pennsylvania/,NCAA Division I-FCS,9%,"10,468",95%,http://www.upenn.edu
Johns Hopkins University,https://www.niche.com/colleges/johns-hopkins-university/,Other,13%,"5,621",92%,https://www.jhu.edu/
Northwestern University,https://www.niche.com/colleges/northwestern-university/,NCAA Division I-FBS,11%,"8,298",94%,http://www.northwestern.edu
California Institute of Technology,https://www.niche.com/colleges/california-institute-of-technology/,NCAA Division III (without football),8%,979,94%,http://www.caltech.edu
Dartmouth College,https://www.niche.com/colleges/dartmouth-college/,NCAA Division I-FCS,11%,"4,270",97%,http://www.dartmouth.edu
Brown University,https://www.niche.com/colleges/brown-university/,NCAA Division I-FCS,9%,"6,565",96%,http://www.brown.edu
Vanderbilt University,https://www.niche.com/colleges/vanderbilt-university/,NCAA Division I-FBS,11%,"6,817",92%,http://www.vanderbilt.edu
Cornell University,https://www.niche.com/colleges/cornell-university/,NCAA Division I-FCS,14%,"14,556",94%,http://www.cornell.edu
Rice University,https://www.niche.com/colleges/rice-university/,NCAA Division I-FBS,15%,"3,836",93%,http://www.rice.edu
University of Notre Dame,https://www.niche.com/colleges/university-of-notre-dame/,NCAA Division I-FBS,19%,"8,514",95%,http://www.nd.edu
University of California--Los Angeles,https://www.niche.com/colleges/university-of-california---los-angeles/,NCAA Division I-FBS,18%,"30,343",91%,http://www.ucla.edu/
Washington University in St. Louis,https://www.niche.com/colleges/washington-university-in-st-louis/,NCAA Division III (with football),17%,"6,915",94%,http://www.wustl.edu
Emory University,https://www.niche.com/colleges/emory-university/,NCAA Division III (without football),25%,"6,714",91%,http://www.emory.edu
Georgetown University,https://www.niche.com/colleges/georgetown-university/,NCAA Division I-FCS,17%,"7,056",94%,http://www.georgetown.edu
University of California--Berkeley,https://www.niche.com/colleges/university-of-california---berkeley/,NCAA Division I-FBS,17%,"28,108",92%,http://www.berkeley.edu
University of Southern California,https://www.niche.com/colleges/university-of-southern-california/,NCAA Division I-FBS,17%,"18,195",92%,http://www.usc.edu/
Carnegie Mellon University,https://www.niche.com/colleges/carnegie-mellon-university/,NCAA Division III (with football),22%,"6,069",90%,http://www.cmu.edu/
University of Virginia,https://www.niche.com/colleges/university-of-virginia/,NCAA Division I-FBS,30%,"15,476",94%,http://www.virginia.edu
Tufts University,https://www.niche.com/colleges/tufts-university/,NCAA Division III (with football),14%,"5,435",92%,http://www.tufts.edu
University of Michigan--Ann Arbor,https://www.niche.com/colleges/university-of-michigan---ann-arbor/,NCAA Division I-FBS,29%,"27,969",91%,http://www.umich.edu
Wake Forest University,https://www.niche.com/colleges/wake-forest-university/,NCAA Division I-FBS,30%,"4,900",88%,http://www.wfu.edu
New York University,https://www.niche.com/colleges/new-york-university/,NCAA Division III (without football),32%,"24,888",85%,http://www.nyu.edu
