Name,Panopath Link
Princeton University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652511012&idx=1&sn=7a9f5fe9d01e08720b0536556dbfa993&chksm=f39db79ec4ea3e88d2c67296b661d53c1e4594a031a44613415b51a0cebe44eaf72c7703d84a&scene=21#wechat_redirect
Harvard University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652513855&idx=1&sn=745071677de69008567dc84478bfd60d&chksm=f39d8a85c4ea0393b95da23b8ae07e7a6a4c9b9a0f293a8a71a493b6d4b9dbef2304446d1fb1&scene=21#wechat_redirect
Columbia University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652506292&idx=1&sn=c805b5f0c5f15eba97a76de373590a36&chksm=f39da40ec4ea2d1806ceaec3fdc2765e036aeede5ce4979fa53d9b0df8ea623aae4144a0d5f4&scene=21#wechat_redirect
Massachusetts Institute of Technology,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652509291&idx=1&sn=f4ae3bab8f9e2e05c162610e390d8855&chksm=f39db8d1c4ea31c70ad2df562a8d36754dbf9d3f0d9b95de41ce3779de8e78116af8719ab55b&scene=21#wechat_redirect
University of Chicago,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652506888&idx=1&sn=14d24965ff1d676250dd33d1ea61bbac&chksm=f39da7b2c4ea2ea488467b9333df6967777097995fddd83bc8f101d27b72c62c0bc1fb5f50fc&scene=21#wechat_redirect
Yale University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652509798&idx=1&sn=a890f523deb06853d0cad652fdc72c4b&chksm=f39dbadcc4ea33ca45b48aa57b0c53ea395833b43a9a81b9655cdcc92690174d9e36535af29f&scene=21#wechat_redirect
Stanford University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652508093&idx=1&sn=06fb06dca1cc4ba4faa7e402bf60aaf7&chksm=f39da307c4ea2a11b48dfd60fd5ee155091e27e24a312ca7c2d3d1035e8d61ddb64e648ccc58&scene=21#wechat_redirect
Duke University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652509485&idx=1&sn=050be9a8bf4fa13e799171eaa0173d5b&chksm=f39db997c4ea30817314ce12f56e65d105af9b6a748ad0953a9ca12348e611c3d962f4f2b952&scene=21#wechat_redirect
University of Pennsylvania,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652504461&idx=1&sn=de3e251e4cc6c44f8899d07f6688f82a&chksm=f39dad37c4ea2421f603c4555d420b1fd3a0abf22e9d54816de0c1c3848a2f114e7d919a442c&scene=21#wechat_redirect
Johns Hopkins University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652503646&idx=1&sn=445e482d1cd781e3d0366b83a23d50d2&chksm=f39e52e4c4e9dbf21260e7d53daade0b178d4c9b9626c2e13f1968f5ac80adb917a0c62c9e03&scene=21#wechat_redirect
Northwestern University,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652505866&idx=1&sn=8c9ad854a7d6909707320f41f14fb9fb&chksm=f39dabb0c4ea22a68b1c52a3483462f03a2bd5ffe5ba3d85626594ee9a133f67a0e6fd2d4437&scene=21#wechat_redirect
California Institute of Technology,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652506624&idx=1&sn=4174fe036a497f5c05d3c8157b7e1126&chksm=f39da6bac4ea2fac3c4c56f99c5c71b4b1c64333e0115715fc2bda4c2726127d59b90dc39474&scene=21#wechat_redirect
Dartmouth College,http://mp.weixin.qq.com/s?__biz=MzIyNjI3MDY3Nw==&mid=2652506680&idx=1&sn=19f35828275330d829c84ab1f1b8d50c&chksm=f39da682c4ea2f94352a499cfc48ea733147fe69651109aebb6e3dad9765a86094e7c682f406&scene=21#wechat_redirect
