Name,THE Ranking
Princeton University,7
Harvard University,6
Columbia University,16
Massachusetts Institute of Technology,4
University of Chicago,10
Yale University,8
Stanford University,3
Duke University,18
University of Pennsylvania,=12
Johns Hopkins University,=12
Northwestern University,25
California Institute of Technology,5
Dartmouth College,=99
Brown University,53
Vanderbilt University,=121
Cornell University,19
Rice University,86
University of Notre Dame,173
University of California--Los Angeles,17
Washington University in St. Louis,54
Emory University,=84
Georgetown University,109
University of California--Berkeley,15
University of Southern California,66
Carnegie Mellon University,24
University of Virginia,107
Tufts University,152
University of Michigan--Ann Arbor,20
Wake Forest University,251-300
New York University,27
University of California--Santa Barbara,52
University of North Carolina--Chapel Hill,56
University of California--Irvine,=96
University of Rochester,=163
Brandeis University,201-250
Georgia Institute of Technology,34
University of Florida,=156
Boston College,301-350
College of William and Mary,DNE
University of California--Davis,=59
University of California--San Diego,601-800
Boston University,=74
Case Western Reserve University,=132
Northeastern University,=184
Tulane University,301-350
Pepperdine University,DNE
University of Georgia,401-500
University of Illinois--Urbana-Champaign,50
Rensselaer Polytechnic Institute,351-400
University of Texas--Austin,39
University of Wisconsin--Madison,43
Villanova University,DNE
Lehigh University,501-600
Syracuse University,251-300
University of Miami,201-250
Ohio State University--Columbus,=71
Purdue University--West Lafayette,64
Rutgers University--New Brunswick,DNE
Pennsylvania State University--University Park,81
Southern Methodist University,DNE
University of Washington,28
Worcester Polytechnic Institute,501-600
George Washington University,=181
University of Connecticut,301-350
University of Maryland--College Park,=82
Brigham Young University--Provo,DNE
Clark University,251-300
Clemson University,DNE
Texas A&M University--College Station,=171
Florida State University,251-300
Fordham University,601-800
Stevens Institute of Technology,501-600
University of California--Santa Cruz,=167
University of Massachusetts--Amherst,201-250
University of Pittsburgh,=110
University of Minnesota--Twin Cities,=71
Virginia Tech,DNE
American University,301-350
Baylor University,601-800
Binghamton University--SUNY,DNE
Colorado School of Mines,251-300
North Carolina State University--Raleigh,251-300
Stony Brook University--SUNY,251-300
Texas Christian University,DNE
Yeshiva University,DNE
Michigan State University,=93
University of California--Riverside,201-250
University of San Diego,DNE
Howard University,DNE
Indiana University--Bloomington,=146
Loyola University Chicago,DNE
Marquette University,601-800
University at Buffalo--SUNY,201-250
University of Delaware,251-300
University of Iowa,201-250
Illinois Institute of Technology,DNE
Miami University--Oxford,DNE
University of Colorado--Boulder,=114
University of Denver,301-350
University of San Francisco,DNE
University of Vermont,351-400
Clarkson University,DNE
Drexel University,351-400
Rochester Institute of Technology,601-800
University of Oregon,DNE
New Jersey Institute of Technology,501-600
Saint Louis University,501-600
SUNY College of Environmental Science and Forestry,DNE
Temple University,351-400
University of Arizona,=159
University of New Hampshire,DNE
University of South Carolina,401-500
University of the Pacific,DNE
University of Tulsa,401-500
Arizona State University--Tempe,=123
Auburn University,601-800
Rutgers University--Newark,DNE
University of Tennessee,DNE
DePaul University,DNE
Duquesne University,DNE
Iowa State University,351-400
Seton Hall University,DNE
University of Utah,201-250
University of Oklahoma,401-500
University of South Florida,251-300
University of St. Thomas,DNE
San Diego State University,501-600
University of Dayton,601-800
The Catholic University of America,DNE
University of Alabama,401-500
University of Illinois--Chicago,251-300
University of Kansas,351-400
University of Missouri,DNE
University of Nebraska--Lincoln,351-400
University of Texas--Dallas,251-300
George Mason University,301-350
Michigan Technological University,DNE
University of California--Merced,351-400
University of La Verne,DNE
Colorado State University,401-500
Hofstra University,351-400
Louisiana State University--Baton Rouge,501-600
Mercer University,DNE
Oregon State University,301-350
University at Albany--SUNY,DNE
Washington State University,301-350
Adelphi University,DNE
Kansas State University,601-800
The New School,DNE
University of Cincinnati,251-300
University of Kentucky,401-500
St. John Fisher College,DNE
St. John's University,DNE
Union University,DNE
University of Arkansas,601-800
University of Mississippi,DNE
Biola University,DNE
Missouri University of Science & Technology,DNE
Oklahoma State University,501-600
University of Alabama--Birmingham,179
University of Hawaii--Manoa,201-250
University of Massachusetts--Lowell,DNE
University of Rhode Island,DNE
Virginia Commonwealth University,DNE
Edgewood College,DNE
University of Central Florida,601-800
University of Idaho,501-600
University of Maryland--Baltimore County,501-600
Montclair State University,DNE
Seattle Pacific University,DNE
Ball State University,DNE
Illinois State University,DNE
Ohio University,DNE
Rowan University,DNE
University of Houston,301-350
University of Louisville,DNE
Florida Institute of Technology,801-1000
Maryville University of St. Louis,DNE
Mississippi State University,601-800
Pace University,DNE
Suffolk University,DNE
University of Maine,DNE
Immaculata University,DNE
Lesley University,DNE
Robert Morris University,DNE
University of Wyoming,DNE
Florida International University,401-500
Georgia State University,401-500
Texas Tech University,601-800
University of New Mexico,301-350
Kent State University,501-600
Nova Southeastern University,DNE
University of Massachusetts--Boston,DNE
Andrews University,DNE
East Carolina University,801-1000
Indiana University-Purdue University--Indianapolis,DNE
Lipscomb University,DNE
University of Hartford,DNE
University of North Carolina--Charlotte,DNE
Widener University,DNE
Regent University,DNE
University of Montana,401-500
University of Nevada--Reno,DNE
University of North Carolina--Greensboro,601-800
Azusa Pacific University,DNE
California State University--Fresno,DNE
Central Michigan University,DNE
Montana State University,501-600
University of Colorado--Denver,301-350
University of North Dakota,DNE
Utah State University,DNE
Wayne State University,301-350
Western Michigan University,DNE
West Virginia University,601-800
Bowling Green State University,DNE
